date,precipitation,wind_direction_400hPa,wind_speed_400hPa,cloud_cover_400hPa,temperature_400hPa,wind_speed_50hPa,wind_speed_30hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_1000hPa,wind_speed_975hPa,wind_speed_950hPa,wind_speed_925hPa,wind_speed_900hPa,wind_speed_850hPa,wind_speed_800hPa,wind_speed_700hPa,wind_speed_600hPa,wind_speed_500hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_200hPa,wind_direction_600hPa,wind_direction_500hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa
2025-09-28 11:00:00+00:00,0.0,240.08644,101.063934,0.0,-22.909092,28.8,28.09128,60.191692,79.45414,119.81987,199.2795,211.77536,195.16884,10.823973,42.74719,55.565586,57.22768,55.650803,48.16172,48.324425,59.17747,69.89112,74.83421,250.0168,270.0,265.42615,244.98314,240.61108,221.09421,225.49815,229.88527,242.8351,254.18074,245.85446,241.57889,237.3625,224.39058,218.72272,211.03215,200.96579,183.814
2025-09-28 12:00:00+00:00,0.0,242.24155,103.06037,0.0,-23.545456,22.925968,30.357864,60.107903,82.136475,121.916695,191.74858,208.27866,196.1587,13.450708,40.049366,52.650852,56.315716,55.80174,51.5964,51.587303,56.24695,76.279816,80.828705,251.56496,263.9911,266.56644,244.93256,241.1646,221.49637,227.23119,230.3322,247.28555,251.83395,247.96371,236.46393,234.34457,229.25894,224.9999,216.02747,205.37152,195.52417
2025-09-28 13:00:00+00:00,0.0,247.5838,103.84681,0.0,-23.545456,21.264053,32.643528,58.848957,81.14874,126.37088,186.52571,209.42664,198.3633,16.1198,35.550198,50.722973,56.60657,56.43871,50.491875,50.084927,60.45912,74.41857,82.39029,252.89719,253.61038,267.66275,246.46764,239.7828,220.35196,229.66194,229.95851,255.35258,257.38068,250.82089,238.05528,233.44028,229.81361,225.8636,218.18182,208.1785,203.70265
2025-09-28 14:00:00+00:00,0.0,256.12244,105.06683,0.0,-23.545456,21.466253,35.313454,56.451042,83.35466,129.87192,165.04254,184.1482,171.48247,17.072504,34.541534,49.238956,56.066654,56.66645,55.596798,55.88604,62.1248,79.17785,88.25508,260.21765,243.43501,267.56342,247.1263,243.67177,224.20804,230.9645,229.12769,256.25092,258.23172,248.30482,236.3099,232.6604,228.8938,222.96497,216.68982,207.67198,204.94388
2025-09-28 15:00:00+00:00,0.0,259.21576,102.61228,0.0,-23.227274,23.299786,35.53702,55.4083,87.13851,127.72532,149.28308,155.9492,119.57324,18.25026,34.88831,47.27021,55.84691,58.607635,59.515038,59.640587,72.410835,83.15723,96.747086,258.31067,235.49141,265.03033,247.3194,243.19429,230.30737,238.54323,233.49846,256.92087,262.8751,255.60637,235.24402,232.77905,224.9999,218.27315,211.60745,204.64676,202.01134
2025-09-28 16:00:00+00:00,0.0,261.50153,105.55908,0.0,-22.909092,26.345398,31.771685,56.71825,86.533226,126.14276,135.1266,128.6241,104.123764,19.161337,36.8723,41.583637,51.8945,58.312386,60.070713,64.206696,76.22614,88.74538,102.11288,259.1145,239.9315,263.92764,250.55988,244.65387,239.12799,242.54909,236.59215,257.7577,267.30576,260.15424,236.43365,232.08684,224.70918,217.7582,208.9509,207.08347,205.60214
2025-09-28 17:00:00+00:00,0.0,259.9921,103.57606,0.0,-22.909092,28.447845,30.381575,57.712387,83.87133,122.5881,132.9457,118.67872,103.06037,20.808498,39.03039,43.0531,45.543186,50.966724,64.099464,70.66292,80.72068,93.37673,102.06351,260.9098,242.35411,266.42374,250.78723,246.94867,245.5081,242.24155,239.0363,261.94098,272.02133,257.56677,243.97894,234.84105,222.33694,215.65541,213.26144,211.71509,210.11365
2025-09-28 18:00:00+00:00,0.0,257.90524,103.08831,0.0,-22.59091,30.758411,33.941124,59.999996,81.608826,118.417564,133.8094,113.31584,104.11685,21.407139,43.005234,48.44899,51.199265,55.44734,67.44457,74.001686,77.96019,92.45816,103.54129,261.87,249.44386,270.0,250.23274,250.46326,245.60628,244.02565,240.44641,269.49298,274.65326,260.83774,247.76721,239.1027,228.36655,225.63652,224.67633,223.94568,222.27362
2025-09-28 19:00:00+00:00,0.0,258.5507,96.72476,0.0,-23.227274,28.849957,34.98571,58.99559,83.570335,113.105965,128.3327,113.92418,112.53159,19.134262,42.196686,51.489697,56.720783,60.331364,64.2273,63.767155,67.44986,88.39772,99.129005,275.90604,253.0724,274.66678,254.16754,252.71841,246.40517,248.08507,241.51791,268.4089,276.95285,255.06853,245.44452,254.78047,267.6141,269.18735,269.1385,267.4665,265.68405
2025-09-28 20:00:00+00:00,0.0,256.5348,87.608215,0.0,-23.227274,29.197258,33.941124,57.91165,80.04998,116.20809,124.04193,110.4326,107.18358,19.45333,41.842297,49.235916,52.747974,55.262154,59.878548,64.36808,75.167534,87.640976,91.83725,278.13,260.53775,275.94678,257.00537,253.81071,250.97429,248.31764,245.41844,272.67535,276.75348,267.6338,252.83174,259.03217,270.86804,272.62234,273.1548,273.0664,272.12103
