date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000],cloud_cover_low,is_day
2024-08-14 16:00:00,26.5815,1020.1,4.432637,0.0,254.74483,4.7880363,0.0,255.37909,6.84664,0.0,257.66092,7.539299,0.0,258.3664,7.581207,0.0,259.69522,7.398057,0.0,266.186,7.2039056,0.0,282.99463,8.057428,0.0,315.0001,6.2477384,0.0,315.0001,6.7647614,0.0,343.3007,12.580849,0.0,325.4914,13.745025,0.0,315.0001,15.685129,0.0,321.70978,32.53312,0.0,314.19315,33.449364,0.0,315.78473,19.449196,0.0,330.01843,10.387376,0.0,356.42374,4.717123,0.0,15.945477,7.5840216,0.0,109.98319,8.0,1.0
2024-08-14 17:00:00,27.5815,1020.0,4.8596,0.0,253.73972,5.2295365,0.0,254.3577,7.469182,0.0,252.07199,8.175652,0.0,253.0091,8.22754,0.0,254.05453,8.179271,0.0,254.29129,7.6361246,0.0,261.87,6.234054,0.0,306.25394,5.0370874,0.0,307.87503,4.717123,0.0,344.05453,11.334437,0.0,329.03632,15.126468,0.0,313.26434,17.92132,0.0,319.39877,32.124043,0.0,311.72943,33.953888,0.0,318.09415,18.89073,0.0,337.8336,11.947547,0.0,347.4712,2.671553,0.0,345.9637,5.060625,0.0,129.80553,23.0,1.0
2024-08-14 18:00:00,28.3315,1019.0,5.2339487,0.0,254.93146,5.2295365,0.0,254.3577,7.5041943,0.0,257.125,7.75215,0.0,258.6901,7.8036923,0.0,259.9921,7.173695,0.0,264.09396,6.7494445,0.0,270.0,5.2351294,0.0,309.8055,5.657568,0.0,321.34018,5.223913,0.0,352.87506,10.447826,0.0,330.25522,14.689967,0.0,311.42358,19.833944,0.0,308.36752,31.616877,0.0,314.16977,33.30471,0.0,322.90707,17.685503,0.0,331.55716,16.003103,0.0,328.24057,6.671019,0.0,29.054508,7.1274137,0.0,90.0,26.0,1.0
2024-08-14 19:00:00,28.6815,1018.6,3.3947709,0.0,256.75946,3.3221378,0.0,255.96373,5.1240673,0.0,258.23172,5.53725,0.0,258.6901,5.7225695,0.0,260.9098,5.6806374,0.0,265.03033,5.4063005,0.0,267.13766,3.9227695,0.0,289.9832,6.0088825,0.0,323.97253,4.0979743,0.0,341.56494,9.7192,0.0,323.13,15.126468,0.0,313.26434,22.454882,0.0,313.83093,31.775824,0.0,320.79282,32.917988,0.0,323.8067,17.506556,0.0,321.009,17.25291,0.0,325.71307,5.7954116,0.0,26.564985,5.83152,0.0,90.0,29.0,1.0
2024-08-14 20:00:00,28.3315,1018.2,3.0176513,0.0,284.93146,3.1849544,0.0,288.43503,4.6737185,0.0,280.30478,5.230599,0.0,274.76355,5.443473,0.0,274.76355,5.4188147,0.0,272.6025,5.4063005,0.0,272.86234,5.0716615,0.0,277.59454,6.8725123,0.0,315.0001,4.5816746,0.0,315.0001,10.12125,0.0,320.1945,14.01723,0.0,326.3099,21.025845,0.0,326.3099,30.864305,0.0,320.96448,32.39733,0.0,323.13,19.833944,0.0,321.63248,16.519463,0.0,334.44006,4.5816746,0.0,44.999897,8.014658,0.0,75.96373,19.0,1.0
2024-08-14 21:00:00,28.5815,1017.4,3.2058632,0.0,284.03625,3.1270998,0.0,284.93146,4.3089557,0.0,284.03625,4.6429667,0.0,280.78424,4.794776,0.0,278.13,5.21963,0.0,278.13,5.4599624,0.0,278.53067,6.179765,0.0,282.5288,8.44023,0.0,312.8789,5.060625,0.0,309.8055,10.783982,0.0,327.26477,14.21058,0.0,335.77228,20.58187,0.0,331.8215,33.03893,0.0,318.1799,35.3532,0.0,318.7154,21.075703,0.0,315.0001,14.803844,0.0,336.8014,6.671019,0.0,60.94549,7.5840216,0.0,70.01681,4.0,1.0
2024-08-14 22:00:00,27.1315,1018.2,2.2752063,0.0,250.0168,2.296703,0.0,254.74483,3.503731,0.0,252.64589,4.132299,0.0,273.01273,4.831925,0.0,280.78424,5.551269,0.0,282.80426,5.771466,0.0,280.78424,6.7778845,0.0,278.53067,8.146054,0.0,310.60123,6.414345,0.0,315.0001,11.147696,0.0,324.46225,13.622299,0.0,334.65387,19.41679,0.0,334.2901,34.82073,0.0,315.0001,36.157516,0.0,323.74606,23.371033,0.0,316.12323,13.957198,0.0,338.19852,1.94384,0.0,90.0,9.63242,0.0,70.346085,2.0,1.0
2024-08-14 23:00:00,24.8315,1018.1,2.6439085,0.0,233.97253,2.7398012,0.0,233.97253,4.409178,0.0,238.57048,4.1265874,0.0,270.0,4.5487237,0.0,296.56497,6.2635555,0.0,315.0001,7.6456637,0.0,312.1375,10.059929,0.0,299.98157,6.9851837,0.0,304.69522,5.9737735,0.0,310.60123,10.996019,0.0,315.0001,13.912005,0.0,332.24155,18.257845,0.0,332.52567,36.69919,0.0,317.86246,35.84264,0.0,319.39877,23.478569,0.0,320.59937,12.958933,0.0,360.0,2.8977058,0.0,333.43503,10.686212,0.0,75.96373,3.0,1.0
2024-08-15 00:00:00,21.4315,1018.8,2.4587848,0.0,108.43504,2.5479636,0.0,108.43504,3.5532563,0.0,118.072395,2.171888,0.0,180.0,3.0324826,0.0,243.43501,6.5655847,0.0,282.99463,9.677865,0.0,292.98874,10.808096,0.0,299.74478,6.743507,0.0,328.39255,7.3877287,0.0,322.12497,11.947547,0.0,319.39877,12.513929,0.0,338.74942,17.792006,0.0,326.88864,39.076073,0.0,319.70792,39.989388,0.0,319.6002,25.161697,0.0,325.4914,12.9751215,0.0,2.8623457,4.148883,0.0,321.34015,11.681025,0.0,86.82024,0.0,1.0
2024-08-15 01:00:00,19.5315,1019.1,2.2752063,0.0,160.0168,2.3577268,0.0,160.0168,4.2630873,0.0,168.69011,4.477462,0.0,219.09386,5.154229,0.0,254.74483,7.8197722,0.0,294.14554,10.484039,0.0,304.50858,9.055114,0.0,308.991,3.8003507,0.0,324.46225,6.887768,0.0,311.18582,13.357763,0.0,320.90613,15.292091,0.0,323.61554,20.663303,0.0,318.81415,41.48883,0.0,321.34018,40.303116,0.0,323.49847,23.78944,0.0,330.64233,12.310987,0.0,360.0,7.5562916,0.0,329.03632,11.66304,0.0,90.0,60.0,0.0
